,company,car,tream,kilometer,year,price
1902,jac,s5,at-2000,0,1400,-1
1903,kia,optima,basic,87000,2016,-1
1904,ssang,yong,tivoli-elite,49000,2017,-1
1905,peugeot,206,ir-type5,95000,1393,180000000
1906,dongfeng,dignity,,0,1400,-1
1907,mvm,x22,at-sport-excellent,14000,1399,440000000
1908,peugeot,206,ir-type5,158000,1394,185000000
1909,mercedes,benz,classic,300000,1960,-1
1910,peugeot,207,at,78000,1397,325000000
1911,peugeot,207,at,0,1400,-1
1912,bmw,x1,28,138000,2014,1450000000
1913,dena,plus,turbo-automatic,0,1399,-1
1914,renault,talisman,e3,80000,2017,1320000000
1915,bmw,x4,28,77000,2016,3500000000
1916,bmw,x4,28,32000,2016,4000000000
1917,mercedes,benz,e-class-e250,66000,2015,3600000000
1918,swm,g01,,0,1400,-1
1919,peugeot,206sd,v8,0,1398,265000000
1920,quick,manual,r,0,1400,175000000
1921,renault,talisman,e3,50000,2018,1560000000
1922,pick,up,cara-2door,0,1400,-1
1923,bmw,4,series-convertible-428i,52000,2015,2750000000
1924,renault,pars,tondar,17000,1398,350000000
1925,renault,talisman,e3,46000,2017,1260000000
1926,renault,megan,1600,240000,2006,300000000
1927,bmw,x3,28,29000,2016,-1
1928,rigan,coupa,royal,0,1398,-1
1929,changan,cs35,ir,24800,1398,450000000
1930,hyundai,elantra,2.0l,0,2018,-1
1931,kia,cerato,ir-2000-optional,58000,1397,765000000
1932,chery,tiggo7,ie,27000,1399,860000000
1933,quick,manual,r,6800,1399,-1
1934,mercedes,benz,e-class-e240,315000,2003,590000000
1935,citroen,xantia,2.0-sx,196000,1389,210000000
1936,chery,arrizo5,at-excellent,73000,1395,-1
1937,toyota,landcruiser,4door-v6-4000cc,167000,2010,3950000000
1938,mvm,x22,at-sport-excellent,30000,1396,352000000
1939,dena,,,0,1399,310000000
1940,tiba,hatchback,ex,105000,1395,-1
1941,quick,manual,r,0,1400,185000000
1942,mitsubishi,outlander,type3,75000,2016,-1
1943,dena,,,50000,1398,-1
1944,hyundai,azera,4cylinder,0,2019,-1
1945,volkswagen,tiguan,,0,2018,-1
1946,renault,talisman,e3,0,2018,-1
1947,mazda,3,sedan-2.0l-type4,0,1398,-1
1948,kia,sportage,gt-line,0,2017,-1
1949,kia,cerato,ir-2000-optional,0,1398,-1
1950,chery,tiggo7,ie,0,1400,-1
1951,saina,ex,mt,0,1400,-1
1952,kia,cerato,2000,0,2018,-1
1953,lifan,620,1.8,146000,1392,165000000
1954,hyundai,tucson,ix35-2.0l-4wd,0,2017,-1
1955,citroen,c3,ir,0,1397,858500000
1956,hyundai,elantra,2.0l,0,2018,-1
1957,hyundai,santafe,ix45-2400cc,0,2017,-1
1958,hyundai,azera,6cylinder,90000,2011,-1
1959,peugeot,207,mt,0,1400,-1
1960,chery,tiggo5,at-excellent,75000,1396,-1
1961,dongfeng,h30,cross,22000,1397,345000000
1962,bmw,4,series-grancoupe-428i,90000,2016,2800000000
1963,mvm,x33s,at-sport,0,1400,-1
1964,peugeot,pars,mt,169000,1392,155000000
1965,mercedes,benz,c-class-c200,90000,2014,-1
1966,mvm,x22,mt-sport-excellent,0,1400,-1
1967,chery,arrizo6,excellent,0,1400,-1
1968,pride,131,se,50000,1394,94000000
1969,tiba,sedan,sx,0,1400,-1
1970,mvm,315,hatchback-basic,144000,1393,153000000
1971,kia,rio,sedan,50000,2016,-1
1972,suzuki,grand,vitara-ir-at-2.4,0,1397,-1
1973,dena,plus,basic-manual,60000,1398,300000000
1974,bmw,3,series-sedan-320i,190000,2006,590000000
1975,mvm,x33,at,70000,1395,320000000
1976,kia,cerato,ir-2000-optional,50000,1396,720000000
1977,pride,131,ex,216000,1392,77000000
1978,chery,arrizo5,at-excellent,114000,1396,-1
1979,peugeot,207,automatic-panorama,0,1400,430000000
1980,brilliance,h330,at-1.65,65000,1397,-1
1981,kia,sportage,basic,107000,2014,1085000000
1982,hyundai,azera,6cylinder,180000,2014,1150000000
1983,dena,plus,turbo-automatic,0,1400,460000000
1984,pride,sedan,,450000,1387,56000000
1985,nissan,patrol,2door-ir,536000,1375,205000000
1986,toyota,prado,4doors-4cylinder,86000,2013,2880000000
1987,tiba,hatchback,plus,10000,1399,155000000
1988,peugeot,206,ir-type2,6100,1400,235000000
1989,hyundai,santafe,ix45-2700cc,90000,2016,1400000000
1990,toyota,landcruiser,4door-v6-4000cc,120000,2012,-1
1991,renault,sandero,at,68000,1397,377000000
1992,bmw,x3,30,205000,2009,830000000
1993,baic,senova,,60000,2014,610000000
1994,porsche,boxster,718s,17000,2017,6900000000
1995,renault,koleos,,136000,2014,769000000
1996,chery,arrizo5,mt,35000,1398,-1
1997,hyundai,i10,ir,62000,1396,520000000
1998,haima,s7,1.8l-turbo-plus,0,1400,-1
1999,haima,s5,,52500,1397,-1
2000,peugeot,pars,cng,0,1400,-1
2001,bmw,x3,28,71000,2014,-1
2002,saina,ex,mt,0,1400,-1
2003,quick,manual,r,0,1400,173000000
2004,quick,manual,r,0,1400,-1
2005,peugeot,206sd,v8,0,1399,-1
2006,peugeot,206,ir-type6,27000,1385,290000000
2007,renault,talisman,e3,30000,2017,-1
2008,pick,up,arisan,0,1399,-1
2009,pride,131,se,90000,1395,98000000
2010,mazda,3,sedan-2.0l-type4,0,1398,-1
2011,peugeot,206,ir-type2,0,1400,-1
2012,haima,s5,,0,1400,685000000
2013,peugeot,405,slx,0,1400,-1
2014,kia,sportage,basic,112000,2015,1150000000
2015,saina,ex,mt,0,1400,-1
2016,fiat,siena,,101000,1388,180000000
2017,zotye,Ario,1.6l,43000,1397,305000000
2018,mvm,110,3cylinder,76000,1390,66000000
2019,pick,up,cara-4door,0,1399,270000000
2020,peugeot,206,ir-type6,180000,1384,133000000
2021,quick,manual,,2800,1398,160000000
2022,jaguar,misc,,45000,1966,-1
2023,mvm,x22,at-sport,0,1400,-1
2024,ssang,yong,tivoli-armour,30000,2018,-1
2025,chery,tiggo5,te,0,1400,-1
2026,chery,tiggo7,ie,0,1400,-1
2027,peugeot,206sd,v8,0,1399,-1
2028,peugeot,207,at,42000,1397,350000000
2029,renault,koleos,,21000,2018,-1
2030,mvm,x55,excellent,0,1400,-1
2031,peugeot,207,mt,0,1400,-1
2032,mvm,x33s,at-sport,0,1400,-1
2033,quick,manual,r,0,1400,-1
2034,kia,optima,gtline,31000,2016,1800000000
2035,chery,arrizo5te,at-excellent,0,1400,-1
2036,chery,arrizo6,excellent,0,1400,-1
2037,dongfeng,h30,cross,74000,1396,275000000
2038,dena,plus,turbo,0,1400,-1
2039,lifan,x60,at,75000,1395,304000000
2040,tiba,sedan,sx,66000,1391,110000000
2041,alfa,romeo,giulietta,80000,2013,-1
2042,pride,131,se,17000,1399,130000000
2043,peugeot,pars,lx,0,1400,313500000
2044,hyundai,i20,ir,68000,1396,642000000
2045,toyota,prado,2doors-6cylinder,120000,2008,-1
2046,kia,sportage,gt-line,33500,2017,1850000000
2047,peugeot,206,ir-type2,7000,1399,235000000
2048,pick,up,cara-2door,29800,1398,238000000
2049,toyota,rav4,4wd,36000,2017,-1
2050,toyota,landcruiser,4door-v6-4000cc,158000,2011,3580000000
2051,kia,cerato,2000,49000,2017,1080000000
2052,peugeot,pars,mt,0,1400,280000000
2053,borgward,bx5,ultimate,0,2018,-1
2054,peugeot,pars,mt,123000,1391,155000000
2055,pride,111,se,100000,1395,108000000
2056,mvm,x22,mt-sport-excellent,0,1400,-1
2057,samand,lx,ef7,54000,1397,195000000
2058,renault,talisman,e3,30000,2017,1420000000
2059,peugeot,206,ir-type5,0,1399,-1
2060,toyota,landcruiser,4door-v6-4000cc,87000,2011,-1
2061,chery,arrizo6,excellent,0,1400,-1
2062,kia,sportage,gt-line,48000,2017,1850000000
2063,jac,s5,mt-2000,106000,1396,530000000
2064,haima,s7,1.8l-turbo,41000,1398,701000000
2065,volkswagen,passat,,56000,2018,2100000000
2066,volkswagen,tiguan,,0,2018,3100000000
2067,chery,tiggo7,ie,0,1400,-1
2068,volvo,xc90,r-design,50000,2016,-1
2069,mvm,x55,excellent-sport,0,1400,-1
2070,chery,tiggo5,te,0,1400,-1
2071,bmw,7,series-740li,130000,2009,1980000000
2072,peugeot,206,ir-type5,0,1399,-1
2073,mvm,x33s,at-sport,0,1400,-1
2074,chery,arrizo5te,at-excellent,0,1400,-1
2075,peugeot,207,mt,0,1400,333000000
2076,hyundai,azera,6cylinder,193000,2008,-1
2077,bmw,5,series-sedan-528i,80000,2014,2100000000
2078,peugeot,pars,mt,290000,1383,80000000
2079,chery,arrizo5te,at-excellent,49000,1397,469000000
2080,jac,s5,at-2000,0,1400,747500000
2081,besturn,b30,at,0,1399,-1
2082,kia,optima,basic,55000,2016,-1
2083,toyota,landcruiser,4door-v8-4700cc,290000,2006,-1
2084,dena,plus,turbo-automatic,0,1400,-1
2085,hyundai,santafe,ix45-2400cc,70000,2016,1580000000
2086,peugeot,206,ir-type2,4000,1399,235000000
2087,peugeot,207,automatic-panorama,0,1399,-1
2088,kia,cerato,ir-2000-optional,82000,1396,670000000
2089,hyundai,veracruz,ix55,215000,2010,1120000000
2090,peugeot,206,ir-type2,87500,1397,180000000
2091,nissan,pickup,ir-2cab,286000,1380,279000000
2092,hyundai,tucson,ix35-2.4l,116000,2013,866000000
2093,volvo,xc90,r-design,60000,2016,-1
2094,peugeot,pars,mt,78000,1395,203000000
2095,kia,sorento,gtline,98000,2017,1970000000
2096,kia,sportage,gt-line,25000,2017,1790000000
2097,dongfeng,dignity,,0,1400,-1
2098,peykan,pickup,gas,202000,1392,105000000
2099,dongfeng,h30,cross,91000,1396,265000000
2100,kia,optima,gtline,65000,2017,1780000000
2101,chery,arrizo6,excellent,0,1400,-1
2102,chery,arrizo5te,at-excellent,0,1400,-1
2103,mvm,x22,at-sport-excellent,0,1400,-1
2104,mvm,x22,mt-sport-excellent,0,1400,-1
2105,kia,carens,,270000,2008,420000000
2106,jac,s3,at,0,1400,514500000
2107,chery,tiggo5,ie,0,1400,-1
2108,renault,tondar90,e2,93000,1393,245000000
2109,mazda,3,ir-type3,230000,1388,415000000
2110,fidelity,prime,5seater,0,1400,-1
2111,hyundai,elantra,1.8l,80000,2016,820000000
2112,kia,optima,gtline,60000,2017,1680000000
2113,hyundai,accent,ir,70000,1397,655000000
2114,pride,111,ex,114000,1390,86000000
2115,hyundai,tucson,ix35-2.0l-4wd,65000,2016,1550000000
2116,quick,manual,r,0,1400,-1
2117,quick,manual,,17000,1398,160000000
2118,peugeot,pars,mt,0,1400,255000000
2119,pick,up,rich,0,1398,-1
2120,dongfeng,dignity,,0,1400,-1
2121,hyundai,azera,6cylinder,129000,2009,-1
2122,chery,tiggo5,ie,0,1400,-1
2123,lexus,nx,200t-f-sport,118000,2016,-1
2124,jac,s5,at-2000,25000,1397,633000000
2125,peugeot,pars,mt,0,1400,-1
2126,nissan,x,trail,2000,2017,2270000000
2127,toyota,camry,glx,50000,2013,-1
2128,samand,lx,basic,0,1400,-1
2129,kia,sportage,basic,92000,2014,1075000000
2130,samand,lx,basic,0,1400,248500000
2131,mitsubishi,outlander,type5,5500,2018,-1
2132,renault,sandero,at,44500,1396,380000000
2133,chery,arrizo5te,at-excellent,0,1400,-1
2134,kia,cerato,koup,90000,2016,-1
2135,renault,talisman,e3,80000,2017,-1
2136,kia,cadenza,,143000,2013,-1
2137,daewoo,cielo,,5000,1383,320000000
2138,kia,optima,gtline,90000,2016,-1
2139,bmw,3,series-sedan-325i,8000,2005,-1
2140,hyundai,genesis,,150000,2012,1350000000
2141,mazda,3,sedan-2.0l-type4,4000,1398,-1
2142,kia,optima,basic,98000,2014,-1
2143,bmw,3,series-sedan-330i,25000,2018,2680000000
2144,peugeot,206sd,v1,216000,1386,127300000
2145,hyundai,veracruz,ix55,113000,2013,-1
2146,ssang,yong,kyron,137000,2012,680000000
2147,saina,ex,mt,100000,1395,120000000
2148,renault,duster,se-4wd,115000,2017,720000000
2149,chery,arrizo5te,at-excellent,0,1400,-1
2150,dena,plus,turbo-automatic,0,1400,-1
2151,mvm,x33s,at-sport,0,1400,-1
2152,renault,talisman,e3,85000,2018,1230000000
2153,hyundai,tucson,ix35-2.0l-4wd,65000,2016,1550000000
2154,mvm,x33,at,70000,1395,325000000
2155,bmw,3,series-sedan-320i,110000,2013,1450000000
2156,hyundai,accent,full,170000,2015,-1
2157,lexus,nx,200t-f-sport,5000,2017,-1
2158,hyundai,genesis,,166000,2010,865000000
2159,hyundai,santafe,ix45-2400cc,55000,2016,1640000000
2160,pride,151,se,15000,1399,140000000
2161,kia,cerato,ir-2000-optional,12000,1397,738000000
2162,hyundai,elantra,1.8l,110000,2015,835000000
2163,peugeot,pars,lx,0,1400,-1
2164,dena,plus,basic-manual,0,1400,-1
2165,fidelity,prime,7seater,0,1400,985000000
2166,peugeot,2008,,0,1398,-1
2167,kia,sorento,6cylinder,130000,2009,600000000
2168,kia,picanto,,57000,2016,485000000
2169,jac,s5,at-2000,0,1400,-1
2170,pride,131,se,73000,1397,110000000
2171,hyundai,santafe,ix45-2400cc,165000,2015,-1
2172,kia,sorento,gtline,32000,2017,-1
2173,kia,sorento,6cylinder,155000,2010,1080000000
2174,hyundai,santafe,ix45-2400cc,49000,2016,-1
2175,peugeot,405,glx,44000,1397,185000000
2176,kia,mohave,v8,210000,2010,-1
2177,chery,arrizo6,excellent,0,1400,-1
2178,mvm,530,,100000,1391,130000000
2179,dena,plus,turbo-automatic,0,1400,461000000
2180,hyundai,santafe,ix45-2400cc,0,2017,-1
2181,dongfeng,dignity,,2000,1400,1050000000
2182,mvm,x33s,at-sport,0,1400,-1
2183,rigan,coupa,flagship,0,1399,900000000
2184,bmw,x4,28,0,2017,-1
2185,renault,talisman,e3,59000,2017,1390000000
2186,mitsubishi,asx,type4,29500,2018,-1
2187,kia,cerato,ir-2000-optional,100000,1397,712000000
2188,besturn,b30,at,32000,1397,450000000
2189,kia,cerato,ir-2000-optional,56500,1397,725000000
2190,nissan,roniz,,276000,1382,415000000
2191,fidelity,prime,7seater,0,1400,1070000000
2192,shahin,g,,0,1400,370000000
2193,mvm,x55,excellent-sport,0,1399,-1
2194,kia,mohave,v8,130000,2011,1600000000
2195,chery,arrizo5te,at-excellent,0,1400,250000000
2196,toyota,landcruiser,4door-v6-4000cc,75000,2012,-1
2197,dena,plus,turbo-automatic,0,1400,-1
2198,dena,plus,turbo-automatic,0,1400,467000000
2199,chery,tiggo5,te,0,1400,-1
2200,hyundai,sonata,4cyl-automatic,100000,2015,1140000000
2201,peugeot,206sd,v8,59000,1398,-1
2202,peugeot,206sd,v8,184000,1394,173000000
2203,peugeot,207,automatic-panorama,0,1400,-1
2204,mazda,3,sedan-2.0l-type3,127000,1390,555000000
2205,hyundai,santafe,ix45-2400cc,97000,2016,1460000000
2206,peugeot,206,ir-type5,340000,1383,105000000
2207,hyundai,santafe,ix45-2400cc,52000,2017,1800000000
2208,toyota,corolla,gli,56000,2015,1150000000
2209,hyundai,veracruz,ix55,113000,2013,-1
2210,peugeot,206,ir-type2,0,1398,229000000
2211,kia,sorento,gtline,35000,2017,-1
2212,peugeot,pars,mt,13000,1399,238000000
2213,peugeot,206,ir-type2,11000,1399,225000000
2214,hyundai,i20,,100000,2013,380000000
2215,peugeot,pars,cng,127000,1394,188000000
2216,toyota,landcruiser,4door-v6-4000cc,90000,2013,5950000000
2217,lexus,rx,200t-luxury,50000,2017,4500000000
2218,peugeot,206,ir-type6,160000,1387,153000000
2219,bmw,5,series-sedan-530i,8500,2018,5480000000
2220,quick,manual,r,0,1400,175000000
2221,porsche,cayenne,v6,0,2011,-1
2222,bmw,7,series-730li,35000,2017,-1
2223,volkswagen,tiguan,,30000,2018,2380000000
2224,renault,sandero,at,0,1397,485000000
2225,renault,koleos,,48000,2017,1730000000
2226,brilliance,h320,at-1.65,0,1400,-1
2227,kia,sportage,gt-line,17000,2017,1800000000
2228,peugeot,2008,,0,1398,-1
2229,hyundai,elantra,2.0l,0,2018,1450000000
2230,bmw,7,series-750li,98000,2011,-1
2231,kia,sportage,gt-line,0,2017,2300000000
2232,samand,lx,ef7-cng,0,1400,-1
2233,bmw,x1,18,120000,2013,1150000000
2234,renault,koleos,,120000,2014,760000000
2235,toyota,rav4,4wd,56000,2016,-1
2236,hyundai,elantra,2.0l,6000,2018,1250000000
2237,lifan,520,,0,1388,-1
2238,hyundai,sonata,4cyl-automatic,115000,2015,-1
2239,hyundai,azera,4cylinder,20000,2018,2240000000
2240,bmw,5,series-sedan-530i,0,2017,-1
2241,kia,cerato,2000,37000,2017,-1
2242,lexus,nx,hybrid-300h-f-sport,100000,2017,2780000000
2243,dongfeng,h30,cross,90000,1397,-1
2244,mitsubishi,outlander,type5,100000,2018,1500000000
2245,bmw,x4,28,13000,2017,-1
2246,peugeot,207,mt,0,1400,312000000
2247,renault,koleos,,72000,2017,1620000000
2248,toyota,hilux,high-at,85000,2016,-1
2249,peugeot,206sd,v8,0,1399,-1
2250,hyundai,sonata,hybrid-gls,70000,2018,-1
2251,lexus,nx,hybrid-300h-f-sport,60000,2017,-1
2252,hyundai,accent,full,70000,2014,-1
2253,honda,accord,exa,90000,2013,-1
2254,toyota,camry,glx,148000,2014,-1
2255,haima,s7,1.8l-turbo,65000,1397,660000000
2256,hyundai,santafe,ix45-2400cc,100000,2015,-1
2257,hyundai,elantra,2.0l,0,2018,-1
2258,dena,plus,turbo-automatic,0,1399,438000000
2259,kia,cadenza,,150000,2013,-1
2260,kia,sorento,gtline,60000,2017,-1
2261,kia,sorento,basic,38500,2016,-1
2262,jac,s5,at-2000,0,1399,-1
2263,toyota,camry,gl,100000,2014,-1
2264,renault,talisman,e3,23000,2017,-1
2265,lexus,nx,hybrid-300h,60000,2017,-1
2266,bmw,x3,30,165000,2010,-1
2267,nissan,teana,ir-xv,200000,1392,-1
2268,toyota,hilux,high-at,250000,2010,-1
2269,kia,optima,basic,140000,2014,-1
2270,hyundai,santafe,ix45-2400cc,0,2015,-1
2271,peugeot,206sd,v8,90000,1393,178000000
2272,peugeot,206,ir-type5,101000,1395,206000000
2273,hyundai,sonata,hybrid-gls-plus,70000,2017,-1
2274,renault,latitude,,122000,2012,-1
2275,peugeot,405,glx,4500,1398,217000000
2276,hyundai,tucson,ix35-2.0l-4wd,0,2017,1630000000
2277,mercedes,benz,s-class-s350,230000,2006,-1
2278,honda,accord,exb,190000,2016,-1
2279,kia,sportage,basic,110000,2016,-1
2280,toyota,landcruiser,4door-v6-4500cc,0,2007,-1
2281,hyundai,santafe,ix45-3500cc,64000,2016,-1
2282,mercedes,benz,e-class-e350,20000,2011,2800000000
2283,hyundai,santafe,ix45-2700cc,140000,2008,-1
2284,toyota,landcruiser,4door-v6-4000cc,127000,2011,-1
2285,mvm,315,hatchback-sport,32000,1397,235000000
2286,peugeot,206sd,v1,153000,1389,143000000
2287,peugeot,207,manual-panorama,10000,1399,320000000
2288,samand,lx,ef7-cng,0,1400,-1
2289,quick,at,full-plus,0,1400,-1
2290,chery,arrizo6,excellent,0,1400,-1
2291,peugeot,206,ir-type2,0,1400,-1
2292,toyota,c,hr-hybrid,28000,2017,1460000000
2293,suzuki,grand,vitara-ir-at-2.4,252000,1390,650000000
2294,volkswagen,passat,,73000,2018,1930000000
2295,peugeot,206,ir-type2,30000,1397,213000000
2296,pride,sedan,,0,1385,-1
2297,bmw,x4,28,37000,2017,4250000000
2298,toyota,camry,gl,170000,2015,-1
2299,dena,plus,turbo-automatic,0,1400,-1
2300,renault,tondar90,e2,114000,1391,180000000
2301,toyota,rav4,2wd,170000,2014,1290000000
2302,renault,sandero,stepway-at,0,1398,-1
2303,suzuki,grand,vitara-ir-mt2.0,227450,1388,490000000
2304,nissan,juke,platinum,32000,2017,990000000
2305,ssang,yong,tivoli-armour,40000,2017,-1
2306,hyundai,santafe,ix45-2400cc,11000,2017,2075000000
2307,toyota,prado,2doors-4cylinder,177000,2008,-1
2308,mvm,x22,at-sport-excellent,40000,1396,350000000
2309,kia,cerato,2000,18000,2018,-1
2310,toyota,landcruiser,4door-v6-4000cc,200000,2010,-1
2311,mercedes,benz,e-class-e300,0,2012,4250000000
2312,renault,tondar90,e2,100000,1395,-1
2313,hyundai,tucson,ix35-2.4l,170000,2013,850000000
2314,chery,tiggo7,excellent,37400,1397,730000000
2315,dongfeng,dignity,,0,1400,-1
2316,jac,j5,mt,66000,1396,280000000
2317,swm,g01,,0,1400,-1
2318,dena,,,0,1400,-1
2319,mvm,315,hatchback-basic,98000,1392,152000000
2320,pride,131,se,0,1399,-1
2321,renault,duster,se-fwd,115000,2015,600000000
2322,peugeot,207,mt,0,1400,319500000
2323,honda,accord,exb,158000,2013,-1
2324,fidelity,prime,7seater,0,1400,-1
2325,hyundai,tucson,ix35-2.4l,63000,2014,-1
2326,fidelity,prime,7seater,0,1400,-1
2327,honda,accord,exb,164000,2015,-1
2328,bmw,x4,28,150000,2016,3200000000
2329,brilliance,cross,C3-1500cc,60000,1397,-1
2330,kia,cerato,ir-2000-optional,30000,1397,-1
2331,dongfeng,dignity,,0,1400,1180000000
2332,toyota,corolla,gli,95000,2015,-1
2333,toyota,yaris,hatchback,80000,2015,670000000
2334,toyota,c,hr-awd,20000,2017,-1
2335,mercedes,benz,c-class-c200,135000,2014,-1
2336,hyundai,tucson,ix35-2.0l-4wd,6120,2017,-1
2337,chery,tiggo7,ie,0,1400,-1
2338,mercedes,benz,e-class-e350,57000,2013,-1
2339,pride,sedan,,326000,1384,-1
2340,kia,sportage,basic,70000,2016,1160000000
2341,peugeot,207,manual-panorama,0,1400,-1
2342,peugeot,pars,mt,0,1400,-1
2343,renault,sandero,at,120000,1395,315000000
2344,bmw,5,series-sedan-528i,40000,2015,-1
2345,hyundai,azera,6cylinder,180000,2011,900000000
2346,mercedes,benz,s-class-s500,50000,2011,-1
2347,toyota,rav4,4wd,125000,2013,1220000000
2348,samand,lx,ef7,0,1399,-1
2349,dena,,,0,1400,325500000
2350,toyota,prado,4doors-6cylinderonroad,100000,2013,-1
2351,hyundai,sonata,4cyl-automatic,107000,2010,610000000
2352,dena,plus,turbo-automatic,0,1399,-1
2353,dena,plus,basic-manual,10000,1398,330000000
2354,peugeot,pars,mt,0,1399,260000000
2355,mvm,x55,excellent,0,1400,-1
2356,swm,g01f,,0,1400,-1
2357,mvm,x55,excellent-sport,0,1400,-1
2358,samand,lx,basic,67000,1396,170000000
2359,mvm,x33s,at-sport,0,1400,-1
2360,hyundai,santafe,ix45-2400cc,0,2017,-1
2361,bmw,5,series-sedan-525i,212000,2005,760000000
2362,mazda,3,sedan-2.0l-type4,80000,1394,-1
2363,hyundai,i20,ir,35000,1397,-1
2364,tiba,hatchback,ex,0,1400,-1
2365,peugeot,207,at,2600,1399,390000000
2366,volkswagen,tiguan,,30000,2018,-1
2367,peugeot,407,,150000,2009,-1
2368,toyota,aurion,grande,130000,2011,-1
2369,dena,,,100000,1396,250000000
2370,volkswagen,golf,gti,2000,2018,2250000000
2371,peugeot,206sd,v8,0,1399,-1
2372,bmw,x4,28,29000,2017,-1
2373,bmw,x3,28,35000,2014,-1
2374,mercedes,benz,c-class-c200,109000,2014,1950000000
2375,dongfeng,h30,cross,10000,1397,-1
2376,quick,manual,,0,1400,-1
2377,kia,optima,basic,130000,2014,-1
2378,tiba,sedan,sx,0,1400,-1
2379,mazda,3,sedan-2.0l-type4,47000,1396,885000000
2380,peugeot,pars,lx,0,1400,302000000
2381,samand,soren,plus,0,1400,-1
2382,quick,manual,r,0,1399,175000000
2383,hyundai,tucson,ix35-2.4l,99000,2015,1020000000
2384,mercedes,benz,e-class-e200,80000,2014,2550000000
2385,kia,cerato,ir-2000-optional,47000,1397,725000000
2386,hyundai,i20,,42000,2015,550000000
2387,hyundai,elantra,1.8l,58000,2015,-1
2388,bmw,7,series-730li,7000,2018,-1
2389,peugeot,206,ir-type5,0,1398,-1
2390,peugeot,207,mt,0,1400,-1
2391,hyundai,veracruz,ix55,167000,2010,1250000000
2392,bmw,x1,18,70000,2015,-1
2393,tiba,hatchback,ex,0,1400,-1
2394,quick,manual,r,0,1400,-1
2395,nissan,urvan,,45000,2014,-1
2396,bmw,7,series-730li,17000,2017,-1
2397,dena,plus,basic-manual,0,1400,-1
2398,haima,s7,1.8l-turbo,0,1400,-1
2399,quick,manual,r,0,1400,-1
2400,bmw,5,series-sedan-530i,3000,2018,4950000000
2401,quick,manual,r,0,1400,164000000
2402,pick,up,cara-2door,0,1400,-1
2403,mazda,3,sedan-2.0l-type4,11000,1398,-1
2404,pick,up,cara-4door,0,1400,-1
2405,saina,ex,mt,0,1400,-1
2406,renault,tondar90,plus-at,0,1399,-1
2407,ssang,yong,tivoli-armour,39000,2018,740000000
2408,samand,lx,basic,0,1400,-1
2409,peugeot,206,ir-type5,0,1399,-1
2410,fidelity,prime,7seater,0,1400,-1
2411,hyundai,i20,ir,62000,1396,-1
2412,pride,151,se,0,1400,-1
2413,mercedes,benz,c-class-c200,92000,2014,-1
2414,peugeot,407,,190000,2009,-1
2415,renault,tondar90,e2,153000,1391,183000000
2416,kia,cerato,ir-2000-basic,72000,1395,550000000
2417,bmw,5,series-sedan-528i,75000,2015,-1
2418,hyundai,elantra,ir,0,1397,-1
2419,kia,rio,ir-at,182000,1388,165000000
2420,hyundai,tucson,ix35-2.0l-4wd,80000,2017,1250000000
2421,dongfeng,dignity,,0,1400,-1
2422,hyundai,tucson,ix35-2.0l-4wd,12000,2017,-1
2423,peugeot,207,manual-panorama,0,1400,-1
2424,fidelity,prime,5seater,0,1400,-1
2425,peugeot,pars,mt,0,1400,274500000
2426,nissan,x,trail,29000,2017,-1
2427,lexus,nx,200t-f-sport,60000,2017,-1
2428,haima,s7,1.8l-turbo-plus,0,1400,-1
2429,volkswagen,golf,gti,0,2018,-1
2430,volvo,xc90,r-design,62000,2017,-1
2431,toyota,furtuner,,102000,2011,2000000000
2432,honda,accord,exb,200000,2014,1100000000
2433,nissan,x,trail,0,2018,2650000000
2434,peugeot,206,ir-type5,230000,1390,142000000
2435,toyota,rav4,4wd,35000,2017,2200000000
2436,mercedes,benz,e-class-e250,86000,2015,-1
2437,nissan,x,trail,0,2018,2650000000
2438,peugeot,206,ir-type5,230000,1390,142000000
2439,chrysler,300c,,180000,2006,-1
2440,toyota,rav4,4wd,35000,2017,2200000000
2441,toyota,c,hr-hybrid,54000,2018,1880000000
2442,lexus,rx,350,180000,2012,-1
2443,mercedes,benz,e-class-e200,72000,2014,-1
2444,toyota,c,hr-hybrid,30000,2018,-1
2445,toyota,prado,2doors-4cylinder,200000,2012,2000000000
2446,renault,talisman,e3,45000,2017,1380000000
2447,lexus,nx,hybrid-300h-f-sport,35500,2016,2400000000
2448,peugeot,206,ir-type2,20000,1397,205000000
2449,nissan,juke,sport,55000,2017,1220000000
2450,toyota,prado,2doors-4cylinder,140000,2012,2200000000
2451,peugeot,pars,lx,52000,1398,260000000
2452,hyundai,elantra,2.0l,25000,2018,-1
2453,renault,talisman,e3,31000,2017,1400000000
2454,kia,sportage,gt-line,37000,2017,1700000000
2455,pride,131,se,40000,1396,114000000
2456,brilliance,h220,mt,0,1399,-1
2457,hyundai,sonata,4cyl-automatic,150000,2015,1200000000
2458,bmw,3,series-sedan-320i,16000,2018,2470000000
2459,toyota,landcruiser,4door-v6-4000cc,124000,2009,-1
2460,bmw,7,series-730li,30000,2017,-1
2461,hyundai,santafe,ix45-2400cc,85000,2015,1390000000
2462,volkswagen,passat,,30000,2018,-1
2463,saina,manual,plus,0,1400,-1
2464,peugeot,206,ir-type2,0,1400,-1
2465,mg,360,at-turbo,0,1397,-1
2466,kia,cerato,ir-2000-optional,40000,1397,718000000
2467,renault,koleos,,60000,2017,1620000000
